team_name,won_games_as_home_team,won_games_as_visitor_team,lost_games_as_home_team,lost_games_as_visitor_team
Atlanta Hawks,18,6,23,35
Boston Celtics,19,15,22,26
Brooklyn Nets,18,8,22,33
Charlotte Hornets,32,21,13,26
Chicago Bulls,10,5,31,36
Cleveland Cavaliers,20,8,21,32
Dallas Mavericks,32,26,13,21
Denver Nuggets,29,12,12,29
Detroit Pistons,18,13,23,28
Golden State Warriors,11,6,30,35
Houston Rockets,24,21,17,20
Indiana Pacers,26,16,17,27
LA Clippers,22,9,19,32
Los Angeles Lakers,38,33,11,16
Memphis Grizzlies,15,8,26,33
Miami Heat,29,21,14,21
Milwaukee Bucks,38,23,12,27
Minnesota Timberwolves,31,17,12,26
New Orleans Pelicans,0,0,0,0
New York Knicks,30,19,14,24
Oklahoma City Thunder,26,18,15,23
Orlando Magic,27,17,16,26
Philadelphia 76ers,36,32,18,19
Phoenix Suns,31,21,12,22
Portland Trail Blazers,28,22,14,21
Sacramento Kings,34,24,11,21
San Antonio Spurs,38,27,10,20
Toronto Raptors,30,24,16,24
Utah Jazz,30,25,14,18
Washington Wizards,12,7,29,34
